"Story","Title","Result","Date","Stability","Duration (s)"
"cart","check the car functions","ERROR","2024-05-17T11:40:52.8782181-05:00[America/Bogota]","0.0","6.46"
"cart","check the car functions","ERROR","2024-05-17T11:40:52.8782181-05:00[America/Bogota]","0.0","6.46"
"cart","check the car functions","ERROR","2024-05-17T11:40:52.8782181-05:00[America/Bogota]","0.0","6.46"
"login","insert user info","ERROR","2024-05-17T11:08:47.558196143-05:00[America/Bogota]","0.0","13.98"
"login","insert user info","ERROR","2024-05-17T11:08:47.558196143-05:00[America/Bogota]","0.0","13.98"
"login","insert user info","ERROR","2024-05-17T11:15:14.892853995-05:00[America/Bogota]","0.0","4.14"
"login","insert user info","ERROR","2024-05-17T11:15:14.892853995-05:00[America/Bogota]","0.0","4.14"
"login","insert user info","ERROR","2024-05-17T11:52:59.8110046-05:00[America/Bogota]","0.0","1.91"
"login","insert user info","ERROR","2024-05-17T11:52:59.8110046-05:00[America/Bogota]","0.0","1.91"
